report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,invest_cash_flow_net_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,operating_cash_flow_net_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,borrow_bank_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,fixed_assets_scrapped_loss,49128944.08,,0.16724921,,
2025-12-31,2025年报,2025-4,2025四季度,receipts_tax_refunds,366658273.63,28677977.2300,-0.48626322,-0.76539356,-0.35786535
2025-12-31,2025年报,2025-4,2025四季度,depreciation_etc,4221573255.84,,0.00455432,,
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_inflow_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,invest_cash_outflow_total,38437468857.31,30915631283.5500,0.74895482,7.73570746,2.78497498
2024-12-31,2024年报,2024-4,2024四季度,pay_other_related_financing_cash,965171650.04,53663777.4600,-0.07652937,-0.91982836,-0.55911761
2024-12-31,2024年报,2024-4,2024四季度,pay_debt_cash,216297870811.45,56446360733.9000,-0.19552369,0.52863033,-0.29204405
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_outflow_total,226355346466.03,56780979873.3000,-0.18673451,0.49826892,-0.29342272
2024-12-31,2024年报,2024-4,2024四季度,subsidiary_pay_holder_dividends,60172342.82,12715133.0500,0.00274911,-0.00932026,1.85348090
2024-12-31,2024年报,2024-4,2024四季度,dispose_fixed_intangible_long_term_assets_loss,15203668.87,,-0.75277021,,
2024-12-31,2024年报,2024-4,2024四季度,deposits_and_funds_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,cash_equivalents_net_addition_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,repurchase_funds_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,pay_interest_fee_and_commission_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,received_invest_cash,5405862963.21,3138147062.5400,-0.04999810,1.83113328,-0.31595966
2024-12-31,2024年报,2024-4,2024四季度,received_origin_insurance_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,receive_issuance_bond_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,borrow_other_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,pay_origin_insurance_contract_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,disposal_financial_assets_measure_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_inflow_total,219077430557.7,54848456985.7000,-0.23288846,0.62755963,-0.26417571
2024-12-31,2024年报,2024-4,2024四季度,investment_loss,-2417330849.26,,-78.75571790,,
2024-12-31,2024年报,2024-4,2024四季度,pay_other_invest_cash,39487006.15,1722824.1000,127.64917782,7.84822735,9.61342430
2024-12-31,2024年报,2024-4,2024四季度,tax_payments,6729507740.55,1505031656.8800,-0.01345129,0.26724293,-0.18551608
2024-12-31,2024年报,2024-4,2024四季度,add_period_cash_and_equivalents_overage,42812079851.67,46243018342.4300,0.28997014,0.04536156,0.01545476
2024-12-31,2024年报,2024-4,2024四季度,received_other_invest_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,insurance_and_investment_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,less_cash_equivalents_ending_overage,1000000000.0,,1.50000000,,
2024-12-31,2024年报,2024-4,2024四季度,less_cash_ending_overage,41812079851.67,,0.27520847,,
2024-12-31,2024年报,2024-4,2024四季度,employees_cash_payments,13861607129.49,3192719475.4400,-0.02739590,0.09383655,-0.00470257
2024-12-31,2024年报,2024-4,2024四季度,receive_related_financing_cash,246427963.1,-61610642.8300,2.43590078,-1.29039920,
2024-12-31,2024年报,2024-4,2024四季度,assets_impairment,4675845573.44,,2.06472254,,
2024-12-31,2024年报,2024-4,2024四季度,operating_activity_cash_outflow_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,financing_cash_outflow_special,,,,,
2024-12-31,2024年报,2024-4,2024四季度,indirect_cash_net_addition,-18265559844.13,,-2.89798616,,
2024-12-31,2024年报,2024-4,2024四季度,related_operating_activity_receive_cash,3721498035.75,549416916.0200,-0.14836546,-0.32026097,-0.45295764
2024-12-31,2024年报,2024-4,2024四季度,cash_net_addition,-18265559844.13,-21696498334.8900,-2.89798616,-11.81239769,-6.95576778
2024-12-31,2024年报,2024-4,2024四季度,amortization_long_term_deferred_expenses,140620901.18,,-0.02524461,,
2024-12-31,2024年报,2024-4,2024四季度,customer_and_interbank_deposits_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,act_cash_inflow_total,135277219092.78,36537341709.1900,-0.05535777,0.03952396,-0.01263271
2024-12-31,2024年报,2024-4,2024四季度,pledged_load_net_addition,,,,,
2024-12-31,2024年报,2024-4,2024四季度,pay_policy_dividends_cash,,,,,
2024-12-31,2024年报,2024-4,2024四季度,operating_receivable_decrease,1824572724.85,,8.00341107,,
2024-12-31,2024年报,2024-4,2024四季度,debt_conversion_capital,,,,,
