报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20210331,498979482.9,227515487.08,172654154.38,39648130.03,10710453.72,,,,9182462.87,179365601.76,170183138.89,215827046.79,,,,-28831212.37,137972.4,74605389.85,,542336.28,198421768.65,4040425.26,236511206.83,,-114544048.81,,,72414185.37,300557714.25,463247.74,,20602386.37,,280418575.62,70236028.99,210182546.63,210182546.63,,210171848.5,10698.13,,,,,,,,,,,,,,,,,,,,,,210182546.63,210171848.5,10698.13,0.08,0.08,定期报告,未审计,20220429,CNY,合并期末,2021-05-05T21:58:03
20201231,2049789593.71,1037602895.61,732129898.22,271530809.07,30838584.84,,,,94136129.77,820741800.85,726605671.08,821035174.14,,,,-67603296.79,-870210.78,162352328.48,-95300.15,3231873.43,1323629650.31,20849192.1,812296391.66,,336747867.2,,,153736199.35,726159943.4,14558477.94,,21194979.25,,719523442.09,187517020.6,532006421.49,532006421.49,,531912511.18,93910.31,672865631.78,,-130000.0,-130000.0,-130000.0,-130000.0,,,,,,,,,,,,,,,,531876421.49,531782511.18,93910.31,0.19,0.19,定期报告,是,20220416,CNY,合并期末,2021-04-09T00:33:02
20200930,1578009287.78,790593744.78,580388569.4,185785470.94,21932220.77,,,,89028646.74,623698651.18,534670004.44,637948656.9,,,,-57712351.33,-286780.66,115529074.25,3814.74,2904482.36,1081769654.83,15335295.82,637268635.57,,319167357.76,,,109998365.68,496239632.95,8576282.21,,21160634.71,,483655280.45,124542179.88,359113100.57,359113100.57,,359005480.63,107619.94,,,-30000.0,-30000.0,-30000.0,-30000.0,,,,,,,,,,,,,,,,359083100.57,358975480.63,107619.94,0.13,0.13,定期报告,未审计,20211028,CNY,合并期末,2021-10-27T16:43:03
20200630,1056491947.49,475891623.11,342080030.1,118069748.24,14230291.1,,,,66968648.65,410233465.6,343264816.95,409595444.59,,,,37206612.21,188492.72,64392413.89,4618.54,2244093.78,759579669.39,10000261.81,421932838.46,,265483298.47,,,62163270.65,296912278.1,6653556.94,,21012487.95,,282553347.09,73569803.0,208983544.09,208983544.09,,208913995.72,69548.37,,,-30000.0,-30000.0,-30000.0,-30000.0,,,,,,,,,,,,,,,,208953544.09,208883995.72,69548.37,0.08,0.08,定期报告,是,20210827,CNY,合并期末,2020-09-01T17:28:02
20200331,599414005.06,253588405.81,199062578.3,45737723.25,8560052.54,,,,14489045.35,171184722.1,156695676.75,203405362.9,,,,103192272.12,197588.58,22183007.48,,2358322.82,312815682.86,3517076.79,280421237.09,,8559302.13,,,20318066.85,286598322.2,3476708.8,,21020607.87,,269054423.13,67459081.77,201595341.36,201595341.36,,201536695.79,58645.58,,,,,,,,,,,,,,,,,,,,,,201595341.36,201536695.79,58645.58,0.07,0.07,招股说明书/意向书,未审计,20210506,CNY,合并期末,2020-10-15T15:53:03
20191231,1813260306.57,765323328.86,544273411.33,207563699.77,11225276.57,,,,136603086.39,731660727.04,595057640.65,622389338.57,,,,108764674.93,206549.08,178387172.68,62962.46,1523193.6,990543490.1,14852423.48,923135868.18,,-114826057.12,,,167381255.56,822716816.47,16827249.52,,21380058.33,,818164007.66,208917918.67,609246088.99,609246088.99,,609173507.0,72581.99,656880605.62,,-70000.0,-70000.0,-70000.0,-70000.0,,,,,,,,,,,,,,,,609176088.99,609103507.0,72581.99,0.22,0.22,招股说明书/意向书,是,20210409,CNY,合并期末,2020-04-17T20:53:02
20190630,981606194.55,442125727.87,320412493.38,117701617.06,3648342.22,,,,71443567.39,379805499.24,308361931.85,307982786.02,,,,73177790.46,25874.36,86478219.91,23217.24,349011.3,461670969.94,7314929.45,572924772.85,,-201197494.79,,,82628762.43,519935224.61,16625348.11,,20028957.8,,516531614.92,129513069.12,387018545.8,387018545.8,,386953301.92,65243.88,,,-10000.0,-10000.0,-10000.0,-10000.0,,,,,,,,,,,,,,,,387008545.8,386943301.92,65243.88,0.14,0.14,招股说明书(申报稿),是,20191220,CNY,合并期末,2020-03-13T15:58:11
20181231,1460659256.36,577834215.09,438010475.62,131824312.26,6417082.55,,,,240847618.02,764535748.68,523688130.66,436842554.85,,,,78849912.73,559597.54,124852929.81,-55802.45,928230.77,1361225838.03,16475408.12,793935548.85,432806038.01,,,,118008843.05,99433418.33,5397662.45,,1538860.16,,103292220.62,29617318.16,73674902.46,73674902.46,,73632352.15,42550.31,1111293778.9,,-19097954.32,-19090618.62,-170000.0,-170000.0,,,,-18920618.62,,-18920618.62,,,,,,,,,-7335.7,54576948.14,54541733.53,35214.61,0.03,0.03,招股说明书/意向书,是,20210409,CNY,合并期末,2020-03-13T15:58:11
20180630,705705208.84,288323634.72,259082178.84,25029757.31,3624655.6,,,,166067917.66,,,173495373.37,,,,9919975.19,135888.17,67762419.73,,,667659365.69,7873695.03,340406517.61,255435843.36,,,,63943309.69,38045843.15,1182880.14,,1407872.46,,37820850.83,10481111.29,27339739.54,,,27302360.71,37378.83,1120403238.37,,-23603657.99,-23579268.33,,,,,,,,,,,,,,,,,-24389.66,3736081.55,3723092.38,12989.17,,,定期报告,未审计,20180901,CNY,合并期末,2020-03-13T15:58:11
20180331,364988400.0,149406900.0,135384500.0,8906900.0,673200.0,,,,81975300.0,,,82649700.0,,,,11792200.0,-415100.0,39579400.0,,,259005300.0,3789800.0,214420300.0,,,,,40795200.0,105983100.0,9100.0,,62100.0,,105930100.0,25979200.0,79950900.0,,,79917900.0,33000.0,,,-29899100.0,,,,,,,,,,,,,,,,,,,50051800.0,50051500.0,300.0,,,其他,未审计,20180807,CNY,合并期末,2020-03-13T15:58:11
