报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20210331,2857515800.0,1943040768.0,4126203356.0,2183162588.0,442790577.0,461739684.0,18949107.0,,,,12111633.0,,272515448.0,10922313.0,,12111633.0,,,101554100.0,64521417.0,,20981857.0,1738322170.0,34856298.0,765724385.0,,891149597.0,,,,,46591890.0,1119193630.0,1138862.0,,3639694.0,,1116692798.0,163918690.0,,952774108.0,,,889645644.0,63128464.0,,,,,,,,,,,,,,,,,,,,25148654.0,25148654.0,,,,,,25148654.0,16134290.0,,8280974.0,,733390.0,,,,,,977922762.0,914794298.0,63128464.0,0.27,0.27,定期报告,未审计,20220427,CNY,合并期末,2021-04-27T01:00:03
20201231,10363936964.0,7525429174.0,15890303647.0,8364874473.0,944602708.0,1051157956.0,106555248.0,,,,-4979110.0,,1674863471.0,56888078.0,,-4979110.0,,,41122244.0,106868640.0,5171242.0,70858595.0,7037439750.0,92288690.0,3024138480.0,,3862980680.0,,,,,58031900.0,3326497214.0,20508057.0,,39431951.0,,3307573320.0,582197156.0,,2725376164.0,,,2571926677.0,153449487.0,7280541346.0,,9852468023.0,,,,,396161386.0,,,,,,9456306637.0,,,666666667.0,,8794899720.0,8057056.0,8057056.0,1960407.0,,,1960407.0,,6096649.0,-3986592.0,,-67840018.0,,77923259.0,,,,,,2733433220.0,2579983733.0,153449487.0,0.77,0.77,定期报告,是,20220329,CNY,合并期末,2021-04-27T01:00:03
20200930,7916747912.0,5680278413.0,11871486741.0,6191208328.0,722340946.0,777461048.0,55120102.0,,,,-3674114.0,,1471241298.0,45213918.0,,-3674114.0,,,-78418098.0,77904744.0,245094.0,46829629.0,5176999637.0,67981493.0,2168602114.0,,2887125393.0,,,,,53290637.0,2739748275.0,6636398.0,,20841500.0,,2725543173.0,484152599.0,,2241390574.0,,,2102131169.0,139259405.0,,,,,,,,,,,,,,,,,,,,-93195829.0,-93195829.0,-3299343.0,,,-3299343.0,,3740286.0,3740286.0,,,,,,,,,,2148194745.0,2008935340.0,139259405.0,0.63,0.63,定期报告,未审计,20211030,CNY,合并期末,2020-10-29T22:50:03
20200630,5419538922.0,3756259826.0,7896220638.0,4139960812.0,482062681.0,520741033.0,38678352.0,,,,-13996560.0,,1122917239.0,39734931.0,,-13996560.0,,,1496181.0,65131085.0,-1019.0,5669489.0,3492650496.0,43198390.0,1406656238.0,,1995798608.0,,,,,46997260.0,1926888426.0,2679455.0,,17075351.0,,1912492530.0,329687557.0,,1582804973.0,,,1498489431.0,84315542.0,7280541346.0,,8779030777.0,,,,,318941386.0,,,,,,8460089391.0,,,666666667.0,,7793422724.0,18262477.0,18262477.0,1902956.0,,,1902956.0,,3740286.0,3740286.0,,,,,,,,,,1601067450.0,1516751908.0,84315542.0,0.45,0.45,定期报告,未审计,20210830,CNY,合并期末,2020-08-31T02:10:04
20200331,2652074463.0,1830592705.0,3922085112.0,2091492407.0,270346108.0,286063444.0,15717336.0,,,,10445181.0,,433755471.0,10370724.0,,10445181.0,,,59589980.0,45258943.0,1681331.0,404744.0,1634457607.0,16152049.0,676582133.0,,904770231.0,,,,,36953194.0,1017616856.0,679010.0,,8800021.0,,1009495845.0,185407626.0,,824088219.0,,,775389405.0,48698814.0,,,,,,,,,,,,,,,,,,,,208526088.0,208526088.0,,,,,,208526088.0,17417057.0,,174353324.0,,16755707.0,,,,,,1032614307.0,983915493.0,48698814.0,0.23,0.23,定期报告,未审计,20210427,CNY,合并期末,2020-04-29T07:45:03
20191231,9424243327.0,6424184986.0,14647664983.0,8223479997.0,713157649.0,804411262.0,91253613.0,,,,24486871.0,,1947056525.0,103502393.0,,24486871.0,,,200966471.0,71310854.0,13864918.0,29215053.0,6134387247.0,105623102.0,2932009920.0,-9671.0,3043206390.0,,,,,53557506.0,3289856080.0,10895803.0,,15510662.0,,3285241221.0,674690512.0,,2610550709.0,,,2473006420.0,137544289.0,5555649350.0,,8028655770.0,,,166666667.0,,281447757.0,,,,,,7580541346.0,,,300000000.0,,7280541346.0,36172455.0,36172455.0,3299343.0,,,3299343.0,,32873112.0,13452776.0,,14183988.0,,5236348.0,,,,,,2646723164.0,2509178875.0,137544289.0,0.79,0.79,定期报告,是,20210427,CNY,合并期末,2020-03-31T02:20:03
20190930,7120310516.0,4434919993.0,10611236346.0,6176316353.0,873940685.0,917804728.0,43864043.0,,,,26352757.0,,1541015649.0,82351111.0,,26352757.0,,,159563278.0,56956337.0,19651562.0,7910255.0,4375463089.0,74840573.0,2018933418.0,-9671.0,2235469386.0,,,,,46229383.0,2744847427.0,2016358.0,,10622727.0,,2736241058.0,565316609.0,,2170924449.0,,,2057543222.0,113381227.0,,,,,,,,,,,,,,,,,,,,17250533.0,17250533.0,,,,,,8622716.0,8622716.0,,,,,,,,,,2188174982.0,2074793755.0,113381227.0,0.67,0.67,定期报告,未审计,20201030,CNY,合并期末,2020-03-13T15:42:35
20190630,4841433517.0,2997402374.0,7084762933.0,4087360559.0,590634107.0,623919703.0,33285596.0,,,,19102128.0,,1031486862.0,53007991.0,,19102128.0,,,137302189.0,45716278.0,13676119.0,6113460.0,2939605726.0,48374165.0,1362873254.0,-4586.0,1490039041.0,,,,,38323852.0,1901827791.0,1907495.0,,9273568.0,,1894461718.0,384287067.0,,1510174651.0,,,1429856329.0,80318322.0,5555649350.0,,6985505679.0,,,,,226367758.0,,,,,,6759137921.0,,,300000000.0,,6459137921.0,-2229106.0,-2229106.0,,,,,,9388541.0,9388541.0,,,,,,,,,,1507945545.0,1427627223.0,80318322.0,0.48,0.48,定期报告,未审计,20200831,CNY,合并期末,2020-03-13T15:42:35
20190331,2473480443.0,1473878968.0,3474820851.0,2000941883.0,324503204.0,344333958.0,19830754.0,,,,14777590.0,,399708356.0,16000000.0,,14777590.0,,,214416760.0,38437859.0,4561776.0,3195930.0,1557614650.0,24107859.0,660276935.0,,842448845.0,,,,,30781011.0,915865793.0,419808.0,,5518278.0,,910767323.0,173381343.0,,737385980.0,,,704513264.0,32872716.0,5555649350.0,,6260162614.0,,,,,226367758.0,,,,,,6033794856.0,,,300000000.0,,5733794856.0,-9551970.0,-9551970.0,,,,,,-9551970.0,13233806.0,,-20356679.0,-22785776.0,-2429097.0,,,,,,727834010.0,694961294.0,32872716.0,0.23,0.23,定期报告,未审计,20200429,CNY,合并期末,2020-03-13T15:42:35
20181231,7737198184.0,6591474423.0,14841744985.0,8250270562.0,914944583.0,995618309.0,80673726.0,,,,-286866651.0,,134096433.0,54629705.0,,-286866651.0,,,247788292.0,88030015.0,9966728.0,37764361.0,5065449817.0,95637704.0,2867204540.0,2050361332.0,,,,,,52246241.0,2671748367.0,50199419.0,,8358042.0,,2713589744.0,399151373.0,,2314438371.0,,,2241963873.0,72474498.0,4630444645.0,,6872408518.0,,,179236771.0,,246638218.0,,,,,,6446533529.0,,102604616.0,300000000.0,,6043928913.0,295074434.0,295074434.0,,,,,,295074434.0,11978254.0,283096180.0,,,,,,,,,2609512805.0,2537038307.0,72474498.0,0.75,0.75,定期报告,是,20200331,CNY,合并期末,2020-03-13T15:42:35
