stock_code,report_year,source,rds_name,rds_value,tushare_label,tushare_value,abs_diff,rel_err_pct,class,color
600887,2020,tushare_vs_rds,[cash_flow] 取得投资收益收到的现金,824082432.9,[cash_flow] c_recp_return_invest,824082432.9,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 处置固定资产、无形资产和其他长期资产收回的现金净额,21964778.38,[cash_flow] n_recp_disp_fiolta,21964778.38,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 处置子公司及其他营业单位收到的现金净额,2191396.32,[cash_flow] n_recp_disp_sobu,2191396.32,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 投资活动现金流入小计,1462867260.68,[cash_flow] stot_inflows_inv_act,1462867260.68,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 购建固定资产、无形资产和其他长期资产支付的现金,6522197148.12,[cash_flow] c_pay_acq_const_fiolta,6522197148.12,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 投资支付的现金,3961029402.45,[cash_flow] c_paid_invest,3961029402.45,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 支付其他与投资活动有关的现金,22732264.52,[cash_flow] oth_pay_ral_inv_act,22732264.52,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 投资活动现金流出小计,10505958815.09,[cash_flow] stot_out_inv_act,10505958815.09,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 投资活动产生的现金流量净额,-9043091554.41,[cash_flow] n_cashflow_inv_act,-9043091554.41,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 吸收投资收到的现金,247501528.32,[cash_flow] c_recp_cap_contrib,247501528.32,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 其中：子公司吸收少数股东投资收到的现金,443353.32,[cash_flow] incl_cash_rec_saims,443353.32,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 取得借款收到的现金,74557306113.81,[cash_flow] c_recp_borrow,74557306113.81,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 筹资活动现金流入小计,74804807642.13,[cash_flow] stot_cash_in_fnc_act,74804807642.13,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 偿还债务支付的现金,69435631526.14,[cash_flow] c_prepay_amt_borr,69435631526.14,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 分配股利、利润或偿付利息支付的现金,5309737280.33,[cash_flow] c_pay_dist_dpcp_int_exp,5309737280.33,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 其中：子公司支付给少数股东的股利、利润,13730651.84,[cash_flow] incl_dvd_profit_paid_sc_ms,13730651.84,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 支付其他与筹资活动有关的现金,106000845.19,[cash_flow] oth_cashpay_ral_fnc_act,106000845.19,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 筹资活动现金流出小计,74851369651.66,[cash_flow] stot_cashout_fnc_act,74851369651.66,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 筹资活动产生的现金流量净额,-46562009.53,[cash_flow] n_cash_flows_fnc_act,-46562009.53,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 四、汇率变动对现金的影响,-395132646.31,[cash_flow] eff_fx_flu_cash,-395132646.31,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 五、现金及现金等价物净增加额,366852954.3,[cash_flow] n_incr_cash_cash_equ,366852954.3,0.0,0.0,exact,green
