stock_code,ticker,report_year,report_type,statement_type,item_name,item_value
1,000001.SZ,2025,annual,income_statement,生的收益,1539
1,000001.SZ,2025,annual,income_statement,税金及附加,-1479
1,000001.SZ,2025,annual,income_statement,营业利润,51408
1,000001.SZ,2025,annual,income_statement,营业支出合计,-42061
1,000001.SZ,2025,annual,income_statement,营业收入合计,131442
1,000001.SZ,2025,annual,income_statement,资产处置损益,252
600585,600585.SH,2025,annual,balance_sheet,一年内到期的非流动资产 五、10,1369409315
600585,600585.SH,2025,annual,balance_sheet,交易性金融资产 五、2,12899352683
600585,600585.SH,2025,annual,balance_sheet,使用权资产 五、17,888246087
600585,600585.SH,2025,annual,balance_sheet,其他应收款 五、7,1444659039
600585,600585.SH,2025,annual,balance_sheet,其他权益工具投资 五、13,1416433764
600585,600585.SH,2025,annual,balance_sheet,其他流动资产 五、11,4281263129
600585,600585.SH,2025,annual,balance_sheet,其他非流动资产 五、21,18103571261
600585,600585.SH,2025,annual,balance_sheet,商誉 五、19,1241748131
600585,600585.SH,2025,annual,balance_sheet,固定资产 五、15,92533715111
600585,600585.SH,2025,annual,balance_sheet,在建工程 五、16,6172122578
600585,600585.SH,2025,annual,balance_sheet,存货 五、8,7596948434
600585,600585.SH,2025,annual,balance_sheet,应收款项融资 五、5,1548405892
600585,600585.SH,2025,annual,balance_sheet,应收票据 五、3,5795292472
600585,600585.SH,2025,annual,balance_sheet,应收账款 五、4,2922319660
600585,600585.SH,2025,annual,balance_sheet,投资性房地产 五、14,63351166
600585,600585.SH,2025,annual,balance_sheet,持有待售资产 五、9 -,11442212
600585,600585.SH,2025,annual,balance_sheet,无形资产 五、18,37051103465
600585,600585.SH,2025,annual,balance_sheet,流动资产合计,88804755690
600585,600585.SH,2025,annual,balance_sheet,货币资金 五、1,50252254165
600585,600585.SH,2025,annual,balance_sheet,资产总计,2.56001E+11
600585,600585.SH,2025,annual,balance_sheet,递延所得税资产 五、20,1744279226
600585,600585.SH,2025,annual,balance_sheet,长期股权投资 五、12,7981403690
600585,600585.SH,2025,annual,balance_sheet,非流动资产合计,1.67196E+11
600585,600585.SH,2025,annual,balance_sheet,预付款项 五、6,694850901
600585,600585.SH,2025,annual,cash_flow,偿还债务支付的现金,10608173395
600585,600585.SH,2025,annual,cash_flow,分配股利或偿付利息支付的现金,6288462518
600585,600585.SH,2025,annual,cash_flow,加：年初现金及现金等价物余额,16337146843
600585,600585.SH,2025,annual,cash_flow,发行债券收到的现金,1000000000
600585,600585.SH,2025,annual,cash_flow,发行债券收到的现金-,10000000000
600585,600585.SH,2025,annual,cash_flow,取得借款收到的现金,7524911749
600585,600585.SH,2025,annual,cash_flow,取得子公司及其他营业单位支付的现金净额,1313140838
600585,600585.SH,2025,annual,cash_flow,取得投资收益收到的现金,5031085967
600585,600585.SH,2025,annual,cash_flow,吸收投资收到的现金,278209047
600585,600585.SH,2025,annual,cash_flow,处置固定资产收回的现金净额,52437174
600585,600585.SH,2025,annual,cash_flow,年末现金及现金等价物余额,10676117629
600585,600585.SH,2025,annual,cash_flow,投资支付的现金,29995000000
